reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
SP,1,"I wanted to upgrade my HTC Evo micro SD card. I found this SanDisk at a good price. I have had few SanDisks earlier and had no problems with it. I ordered and it was shipped fast. It comes with SD adapter and makes it usage as regular SD card. I unmounted the existing card from the phone, copied over the contents from one SD card to another using adapter and loaded up the new one. Works great. I didn't see a huge difference in speed, but may be I didn't run any speed tests or anything. I like the price for the brand and 32gb card. I will recommend it.",2013-01-23,684,0,0,0,0,0.0,0.0
"Melvin Ruth ""mel""",1,good storage,2014-06-27,164,0,0,0,0,0.0,0.0
D. Kent,1,I've heard horror stories about other models but this one is good and it really makes life easier and allows for plenty of storage.,2014-07-04,157,0,0,0,0,0.0,0.0
asperf21,1,Great product! came with an adapter to plug into a camera or a regular sized card reader. The ultra allows for faster uploads and downloads onto the card!  Great for pictures and apps!,2013-06-06,550,0,0,0,0,0.0,0.0
timothy e demaria,1,"What more can I say, open the box plug it in and it works !!!! Thats all you can say about this item.",2013-02-01,675,0,0,0,0,0.0,0.0
"Joe Lupino ""AGuyNamedJoe""",1,I am using this item to extend the Memory Capacity on the Samsung Galaxy 7.7 Tablet. Very good price with free shipping(Order &#62;$35) and it works as advertised!,2013-10-23,411,0,0,0,0,0.0,0.0
ukswrath,1,"Installed one of these in my Galaxy S4, nice addition. All my HD movies and audio files stream from this card, Perfect!",2013-06-24,532,0,0,0,0,0.0,0.0
Pdxtraveler,1,Perfect in every sense.  I use it mainly for accessing my music and since I upgraded to this MicroSDHC I have found my Samsung Galaxy S3 has no lag in playback and document storage retrieval is quick,2013-12-01,372,0,0,0,0,0.0,0.0
William Eid,1,"Fast data speeds, large capacity and worked right off the bat in my Samsung SIII. Love the fact it holds my large music and audio books library on the device.",2013-11-15,388,0,0,0,0,0.0,0.0
G. Becker,1,"Puchased this card right after I received my Samsung Galaxy S III. Truly found this to be quicker than any other class 10 card I've owned. The cost on Amazon was far less than I've seen anywhere else. If ""you're"" looking for this type of product, then this is the one for you...IMHO of course.",2012-10-22,777,5,0,5,5,1.0,0.5655175352168252
"Big &#34;E&#34; ""Big &#34;E&#34;""",1,Bought for my wifes Samsung Galaxy 3 Tab. Lots of storage for pictures and music. Good product at reasonable price.,2014-04-30,222,0,0,0,0,0.0,0.0
Chuck H.,1,SanDisk is a great brand and it has failed. I have purchased several of these so I think it was just bad luck. I am sure Amazon will replace it.,2013-11-16,387,0,0,0,0,0.0,0.0
Ara,1,"I can't say that the applications are loading faster, but I can definitely say that videos and music load much faster in my phone now. I didn't have to reformat the card or anything, just transferred all DATA from old card to this one and popped it in. Considering the small price difference, I'd recommend getting a faster card for sure.",2012-11-13,755,0,0,0,0,0.0,0.0
David Maxey,1,"I have been waiting for these microSDs to not only reach 64GB capacity, but at an affordable price.  Found it!  The package arrived early, worked as advertised, so I am a happy customer.",2012-11-30,738,0,0,0,0,0.0,0.0
gch3,1,"This is a really small card, but it holds the data and does the job.  It comes with an adapter allowing the card to be used in a laptop or card reader.  It has worked well for me so far and has my recommendation.",2014-01-05,337,0,0,0,0,0.0,0.0
Reviewer #RX7,1,Plugged it into my Samsung Galaxy S3 and now I have enough memory to take as many pictures as I could ever want. No complaints. Been using it for over a month without issue.,2014-02-26,285,0,0,0,0,0.0,0.0
"Technoholic ""Techno""",1,Just what we needed to replace the memory card in my phone.  This is a dependable brand and a reasonable price,2013-03-28,620,1,0,1,1,1.0,0.2065493143772374
jeff,1,Swapped this into my GoPro and put the 32gb card from there into my S4. In both cases I'm completely satisfied with the cards.,2014-01-17,325,0,0,0,0,0.0,0.0
Jonathan Araujo,1,"Massive memory boost to my Captivate Glide.Holds all my music, files, etc and i still have 20GB free! O_OTransfer speeds are great!Really worth the price!",2013-01-28,679,0,0,0,0,0.0,0.0
Careful shopper,1,"No problems encountered and seems perfectly compatable with the S4...  Can't even tell when you are using something off the card or off the phones internal memory.Note that up to 32GB it requires the HC cards,  from there to 64GB it requires the XC version.Happy with this purchase so far.",2013-12-14,359,0,0,0,0,0.0,0.0
N7,1,"I use this because my office use all window OS and I'm the only one with a MAC OS, so file transfers between computers are easy with this little thing",2014-07-03,158,0,0,0,0,0.0,0.0
Liliana,1,"With that said, there has been some skepticism related to the serial number of the card as it is displayed on Amazon. I can confirm that I received a brand new 64 Gb card with the serial SDSDQUA-064G-U46A.",2014-01-03,339,0,0,0,0,0.0,0.0
Paul,1,This is the best in its kind... works really fast. beside I like the color of this micro sd card,2013-08-08,487,0,0,0,0,0.0,0.0
Don Cook,1,Works great in my GoPro3 camera. No dropped frames so far.Arrived on time. Good price. Would recommend this item.,2013-02-26,650,0,0,0,0,0.0,0.0
wickedbusa,1,Added this card to my Note 2 for massive storage capacity. Phone recognized the card without any issues and it's been solid since its installation. Read/write when plugged into a computer is blazing fast.,2013-10-12,422,0,0,0,0,0.0,0.0
Romano Giannetti,1,No problem in using it to store medium res video for my kid's android device. Works as expected and as described.,2014-09-02,97,0,0,0,0,0.0,0.0
James Scott,1,"Bought this for my new Samsung Galaxy S4. Works great, no problems with transfer speed. No failures with it so far, so I would suggest this to anyone.",2013-05-27,560,0,0,0,0,0.0,0.0
Rick W.,1,great little SD....,2014-07-13,148,0,0,0,0,0.0,0.0
Amazon Customer,1,"Good memory card, a gift given to junior partner, after receiving very beautiful, beautiful packaging, received a big surprise, do not know how to evaluate it.",2014-03-05,278,0,0,0,0,0.0,0.0
Mouahmong Yang,1,Bought for my Note 3.  Works as advertised. 64gb and class 10 speeds offer great capacity and read/write speeds for HD viewing and recording.,2014-02-28,283,0,0,0,0,0.0,0.0
mau,1,"I use this for many technological devices and it works like a charm.I ACTUALLY DO GET CLASS 10 SPEED ABOUT 99.8 OF THE TIMES LITERALLY..................THE OTHER .2 IS PROBABLY RELATED TO READ/WRITE SPEED.........and let me remind you as I said earlier.MANY PLATFORMS FROM TABLETS,SAMSUNG GALAXY S3,S4,CAMERAS,PC,ECT..............WORKS LIKE A CHARM GOOD JOB SANDISK!!!!!!!!!YOU DID NOT LET ME DOWN..........",2013-07-24,502,0,0,0,0,0.0,0.0
"Jason Robinson ""jr""",1,There are a lot of reports about 64gb cards not working in the Gopro hero 3. The 32Gb works great for me.,2013-02-13,663,0,0,0,0,0.0,0.0
Stanley,1,"Great MicroSDHC C10/UHS1 disk with Memory Card Adapter. great product and does with my tablet and Netbooks and Laptops.The speed of the data is good as well. I would say please get this item, and the price is good as well.",2013-10-12,422,0,0,0,0,0.0,0.0
Michael Durante,1,The price alone makes this product well worth it and being a class 10 and not having to pay a lot to get a quality disk is rare which is why I choose to order from amazon,2013-12-23,350,0,0,0,0,0.0,0.0
YucaipaDan,1,"I'm currently using this product in my Canon Digital Camera, I took over 120 pictures & 20 videos while on vacation in Escondido, Mexico  with more than 85% room still left on the card! Also with me using a micro SD Card, if I wish to send the picture right away I can easily just snap the card into my cell phone to post the pictures to Facebook or email for example?",2012-07-12,879,0,0,0,0,0.0,0.0
Zigcarruse,1,"it worked just like you would expect a micro SD card to work, no noticeable issues have come up yet.",2014-02-13,298,0,0,0,0,0.0,0.0
"Edgar H. Green ""Jazzman""",1,Fast recording/downing speed. You can't go wrong wit this. It also can be used with my smartphone.I would recommend this to a friend.,2014-05-18,204,0,0,0,0,0.0,0.0
"Raul Rodriguez Abud ""THE CRITIC""",1,"I download movies, pictures, music and I still have space in my sd card, my phone (galaxy s3) is a real and powerfull phone with 64 + 16 gigas.thank youraul",2013-04-18,599,0,0,0,0,0.0,0.0
Alexander Stevens,1,,2012-08-21,839,2,1,3,1,0.6666666666666666,0.2076596008020476
Todd F. Fogleman,1,"fast transfers and retrieval of data on phone, especially video shooting. very easy to find becasue of color difference, all black seems easy to misplace of trading out to adapters and such",2013-01-24,683,0,0,0,0,0.0,0.0
VS,1,Use it to store music and stuff in the cell phone...have had no problems or bad sectors.The included adapter is great for using it in the computer,2013-09-10,454,0,0,0,0,0.0,0.0
Bill M,1,"Shop around, and you will be surprised how good of a deal this is.Combine it with something else to get free shipping, and it's a low cost winner.Technically speaking it works great, especially for a Go Pro Camera which will benefit greatly from the enhanced storagecapacity.Put it in a digital camera, and you won't need to worry about running out of space.Just bought my second one, that's how much I like/recommend it",2013-11-06,397,0,0,0,0,0.0,0.0
R. Miller,1,This is a great card that does what it's supposed to do. I will definitely buy again when the need arises.,2014-05-30,192,0,0,0,0,0.0,0.0
MONTYHADES,1,"awesome little sd card, my phone is 32GB but I still wanted more for music and videos and this totally works great, as soon as I put it on my phone read it and also it is fast.. I am happy with my purchase..",2014-01-05,337,1,0,1,1,1.0,0.2065493143772374
J. Dresser,1,"The disk keeps up with the data input, it's neat and compact, it responds to the computer readily. I really like it. Might get another one and I'd recommend it to a friend anytime.",2013-04-11,606,0,0,0,0,0.0,0.0
"Gamer ""Gamer""",1,"I purchased new Samsung Galaxy S4 phones for my wife and me. We wanted to be able to take pictures and family event videos without constantly worrying about not having space on the phones. The cameras on the Galaxy S4 are wonderful, but that means bigger files too. These &#34;SanDisk Ultra 64 GB MicroSDXC Class 10 UHS-1 Memory Card&#34; are fast and we have not even begun to fill them up.",2013-06-23,533,0,0,0,0,0.0,0.0
E.Barroso,1,Works very well with my new Tab Pro 8.4&#34;.  Have been able to download lots of content from YouTube to watch on long flights. Will use it on any device that takes sd cards.  Very happy with it.,2014-05-25,197,0,0,0,0,0.0,0.0
Edwin Decena,1,I bouthg this memory because in my contry not to many stores seles good product... and I well buit again over and over... iplication on my phone wrock great... whet i get a chance... i well by the 32g...,2013-09-22,442,0,0,0,0,0.0,0.0
zht,1,"So far so good. I use this with my mobil phone and the product run smoothly. No issue as of yet. Overall, I'm happy with this product.",2012-12-28,710,0,0,0,0,0.0,0.0
tl,1,"This was purchased on a special and the price was right!  It works great, plenty of storage space, and the great price sealed the deal!",2014-05-16,206,0,0,0,0,0.0,0.0
Chris Feineis,1,i got this sd card for my trip to hawaii so i could gopro everything. gets about 4 hours of video at 1080hd. works great. no complaints. highly recommended.,2014-05-01,221,0,0,0,0,0.0,0.0
Amazon Customer,1,Memory either works or not what more can be said than it works as designed.  I was very happy with the price.,2013-06-26,530,0,0,0,0,0.0,0.0
Lucy,1,It arrived on time as schedule. It was purchased on black Friday sale so the price was much cheaper than current listing price. I am now regretting not going with the 64GB as recommended by my coworker.  I purchased it for my new Samsung Galaxy Note 2 phone.,2013-07-01,525,0,0,0,0,0.0,0.0
"J. Seidel ""BrainFlush""",1,"Arrived today. As always shipping from Amazon is the best.I read the reviews, and decided I would give the SanDisk 64GB MicroSDXC a shot, normally I go with Patriot for all my flash memory.So one thing I read that worried me, was the heat issue. Well I can say that it does run hot.How hot you ask? I can feel it through the back cover of my Samsung Galaxy S3. Not plastic melting hot. But I know it is there.Is that an issue? Maybe? Maybe not! I have never really noticed any of my previous cards getting hot. Sure even some of my USB sticks run hot after a transfer.Is it cause for concern? I honestly don't know, yet.I will use it and see if heat causes any issues. If anyone has had the same problem feel free to comment and tell me what happened or if you contacted SanDisk.I am thinking about calling them and also Samsung to find out what max temperature range is acceptable. As I really don't want to ruin my bad-a$$ new phone.Otherwise this is a lot of space for cheap. Can't complain there. I gave it 5 stars for that reason alone.The heat issue is something else and I wont take a star off just because of that.But I will still be concerned until I have some answers.Thanks for reading.",2013-02-01,675,1,0,1,1,1.0,0.2065493143772374
tkcraig,1,"Listen - I got the SanDisk after I had a Kingston card in my phone (Samsung Galaxy Note 2) and it DIED after less than a year!!! Luckily, my phone was synced to dropbox, otherwise I would've lost valuable pics including our first summer family vacation!!! So far, so good with the SanDisk. It's been a few months. If there's a catastrophe, I'll update this review. But as of right now, it's working really well.",2014-11-01,37,0,0,0,0,0.0,0.0
barbarian,1,It works like sed it dose it's fast and works in my Xoom and have used it in my hd1010 xacti camera with an adapter.,2013-02-06,670,0,0,0,0,0.0,0.0
Heli flyer,1,"I ordered a San Disk Ultra 32 GB and received it the next day via Prime. The only problem was that the card was defective. I went thru the process to return, which was simple, and did so. Received an email that a replacement had been sent with one day delivery. Got it today .Card is good, everything is perfect.I THANK YOU",2014-02-19,292,0,0,0,0,0.0,0.0
"Luis Rafael Andrade ""lrafaelrj""",1,"Sandisk is the best brand in my oppinion. 32GB is a great size to put music, video etc. Recommend it!",2014-09-01,98,0,0,0,0,0.0,0.0
D Crouch,1,I bought this for my son's Samsung Galaxy MP3 player(an Android -Version 2.3 Gingerbread device) to replace a class 4 8GB. He was thrilled with the noticeable difference in performance in the device.,2013-01-31,676,0,0,0,0,0.0,0.0
paolo,1,"La uso sul mio samsung galaxy tab 2 7 e va benissimo, raramente non la riconosce, ma basta estrarla rimetterla e tutto va a posto, se fosse spesso sarebbe un problema, ma ripeto succede raramente perci&ograve; consigliata!!!",2013-06-02,554,0,1,1,-1,0.0,0.0
DrXtian,1,"Well since 16 GB is not enought for me I purchased this one specifically for my Samsung Galaxy Note 2 (Which by the way is far better than the iphone 5)... I have both so I can compare and I am not trolling... In any caseThe SanDisk 64gb works perfectly with the Note 2. I transferred the original info from my previous 16 gb sdcard to this in a heart beat. Now I have movies, music everything. Works Great.Dont understand how people can rate it with a 1... Product works as described 5/5",2012-11-16,752,1,0,1,1,1.0,0.2065493143772374
"MG ""mclovin07""",1,Got this for the Galaxy S4.  Works great.  No complaints and I highly recommend to all....32GB is perfect if you take a lot of pics and video's...,2013-11-22,381,0,0,0,0,0.0,0.0
Robert C. O. Gross,1,"I've never used a micro SD and am very pleased with this. I normally buy SanDisk, but purchased a Dane for my daughter's camera for Christmas. It lasted about 3 minutes. This was a very good replacement.",2013-07-08,518,0,0,0,0,0.0,0.0
J.,1,This puts me at about 80 GB on my phone.  I will be purchasing more of these as needed for other devices.,2014-08-04,126,0,0,0,0,0.0,0.0
deezee,1,I didn't really need this for my phone but I figured I may as well get it. Got to love 32gb of storage. Works good for when recording 1080P video.,2013-01-13,694,0,0,0,0,0.0,0.0
kenny,1,love it planty of space for my pictures and videos and more very small and can be use in other items,2013-12-03,370,0,0,0,0,0.0,0.0
peterbee,1,"Using this in my Samsung Galaxy S3 and I haven't had any issues with it, and it is super fast.",2012-07-12,879,0,0,0,0,0.0,0.0
Dennis Peterson,1,Got here within a couple of days of ordering.  Easy to install and works great.  I wanted extra storage and this was right size for me.,2014-04-26,226,0,0,0,0,0.0,0.0
Brian J. Rueger,1,"Does exactly what it is supposed to do.  I cannot think of any complaints.  Other than it is very small......  Be very careful.  I am glad they put some red on this - makes it easier to find if you should drop it,",2014-05-01,221,0,0,0,0,0.0,0.0
"Don ""Don Eitner""",1,"It's hard to believe they can cram 32gigs of memory into a device this tiny and also get good speed out of file transfers to and from it.  It's a good thing it comes with an adapter for larger size devices--I recommend keeping it in that adapter at all times unless it's inside something like a cell phone which only takes the MicroSD size.  It's way too easy to lose something this small.  I hate the industry's mad rush to make everything smaller and smaller with no regard to usability.  Anyway, the memory card is great outside of that, and since my phone does take MicroSD, I just keep it plugged in at all times and don't have to worry about it.",2013-01-31,676,0,0,0,0,0.0,0.0
mbt,1,"I recently switched over from an iPhone to a S4 and I'm trying to get used to the lack of on board memory.  This card works well for me because most of my memory is used on pictures.  I'm still working my way around the actual phone and memory, but this serves me well.",2013-09-07,457,0,0,0,0,0.0,0.0
Ken C,1,"what can I say besides what the title says, Plenty of memory....plug and play and a GREAT price...you won't be sorry!!!  :)",2013-10-04,430,0,0,0,0,0.0,0.0
Ali Tweel,1,"I'm using this SD card in my Samsung Galaxy S3 instead of another one I bought with the same manufacture ""SanDisk 32 GB Mobile microSDHC Flash Memory Card SDSDQ-032G-AFFP"" (http://www.amazon.com/gp/product/B007KFXIDE/ref=oh_details_o04_s00_i02?ie=UTF8&psc;=1).It's working perfectly since October 2012.",2013-05-26,561,0,0,0,0,0.0,0.0
J. A. Quayle,1,"I use this with my Samsung Note II.  Previously I had iPhones, but it is very expensive to get an iPhone with enough memory for all my songs.  For a fraction of the price with my Samsung, they're all there wherever a go.",2013-03-05,643,0,0,0,0,0.0,0.0
"Randal Terwillegar ""Randy T.""",1,What accolades can one say about an SD card that works and is an economical buy.  Put it in my GoPro camera and promptly filled it up.,2013-08-29,466,0,0,0,0,0.0,0.0
SEAHAWKS!  Superbowl Champions!!,1,I wanted a good quality micro SD for video recording my nephew's wedding.  This was more than enough storage for a couple hours of mixed 720p and 1080p recording with plenty of room to spare.  Video looked good for the quality of video cam.,2014-09-02,97,0,0,0,0,0.0,0.0
Jose Robles,1,"its Works fine for me, keep the main memory of my cell pone free for OS. A lot of space for pics, music and many other stuffs.",2014-01-30,312,0,0,0,0,0.0,0.0
"M. Metras ""metras3""",1,"My first computer had 64k of RAM.I just put this in my GoPro Hero camera. It has 1,000,000 time more memory. It is great and it works great too.I just initialized it in the the GoPro and I'm saving pictures.Fantastic",2014-01-19,323,0,0,0,0,0.0,0.0
Matthew W.,1,Works fine for recording HD video. Copying movies off is fast.,2014-06-28,163,0,0,0,0,0.0,0.0
Genevieve,1,Comes with adaptor and case so it'll work well as a regular sd card or micro sd. Works great! Affordable price.,2013-04-07,610,0,0,0,0,0.0,0.0
tim,1,"this is by far the very best sd i ever owned. it writes and read at crazy speeds. easy to use and connect to any device.im glad i bought it. plus is waterproof, shatterproof, freeze proof, g-force to break it is incredible.",2012-10-12,787,0,0,0,0,0.0,0.0
Amazon Customer,1,"Installed this in my Droid Bionic.I just backed up all my data using the included card reader adapter and the card reader slot on the laptop, and copied all data to a folder on my PC. Once done, reversed the process to my new micro sd card.Bionic recognized additional memory, some apps had to run updates, after adding card though this i don't attribute to the card itself it seems likely the apps were referencing something specific with hardware maybe.After the updates programs ran as expected.I did have one issue with PowerAMP media player where all the playlists dissapeared. not sure why and havent yet researched this in the PowerAMP forums. I assume this same issue would occur with any card upgrade.",2013-05-19,568,0,0,0,0,0.0,0.0
Tim Long,1,This card will hold about 3.5 hrs of hd video on the GoPro Hero3. The adapter that comes with it works great too.,2013-09-02,462,0,0,0,0,0.0,0.0
brenton,1,"Fast, reliable, good brand name and customer service, top of line product. One thing to note is if you don't have a high end device then you don't need a class 10, a class 4 or 6 will yield you the same results. So keep that in mind.",2012-12-27,711,0,0,0,0,0.0,0.0
Luis Gonzalez,1,I have this baby in my samsung note2 and there is not much to say except it seems to be working without a flaw,2013-07-16,510,0,0,0,0,0.0,0.0
:),1,"Having a 32gb mirosd is great! I use it in my phone and hardly have to upload my pics and what not. My phone works faster with all the extra space and I never have to worry about needing to delete any songs,pics,or apps.",2014-03-19,264,0,0,0,0,0.0,0.0
Tom L. Urbaniak,1,"Worked exactly as advertised, good price, happy with our purchase. Will probably wait for the 64gb version to drop a bit in price before I get one for my phone. This one was for the wife.",2013-10-11,423,0,0,0,0,0.0,0.0
MAS,1,This works with my Galaxy Note 2. The phone recognizes it and it reads 59.47gb available. Very sturdy card fits perfectly comes with the adapter. Once you place it in your device it is best to format the card so the device can read it. You also want the class 10 rating.,2012-03-12,1001,0,0,0,0,0.0,0.0
"Mike Tkacheff ""average guy""",1,"Best price I could find for a high quality Micro-SD for my Samsung S4 cell phone. Every store in the area charged crazy prices for lesser quality cards. Don't even think of buying any sort of card from your cell phone service provider. They are the worst ! Amazon all the way for cell phone accessories. Items like cases, screen protectors , Micro-SD memory cards.",2014-02-01,310,0,0,0,0,0.0,0.0
pino,1,Works perfect in my HTC One V. No complaints. Love the amount of space in the tiny package. Fast as you need for a phone!,2012-11-16,752,0,0,0,0,0.0,0.0
ceejay,1,This memory card works in both my Nook and my Canon camera.  I chose this disk because it will hold lots of pictures.  It was shipped earlier than expected.,2014-01-14,328,0,0,0,0,0.0,0.0
Leo A. Agustin,1,"The moment I got this, I just plugged it into my SGS3 cellphone. I transferred some videos from my cellphone memory directly to the SanDisk Ultra, and it copied real fast. I plan to replace this soon with a higher capacity 32GB variant. Highly recommended brand.",2013-07-21,505,0,0,0,0,0.0,0.0
Oscar,1,"Had a 16GB card in my S4 and my wife didn't have a memory card in her S3, so I bought a couple of these for us. I needed a bigger card because I load custom ROMs and such and she needed one for her media. They work great and have a pretty nice capacity!",2013-09-27,437,0,0,0,0,0.0,0.0
Billy K,1,"To begin, I am not that knowledgeable in tech matters so when I received a new Galaxy Note 2 as a gift and decided to add storage I read some reviews on the SD cards and was reading about the compatibility of the 64 GB cards (exFAT or Fat? I guess the exFAT was a successful diet), I was concerned somewhat but I ordered this one anyway and this is what my experience was. I added some music and videos onto the card using my Apple Macbook Air with no problems and then inserted it into the Note 2 with no problems and it immediately loaded everything with no problems. I have since taken it out and added some more music to it and it is working perfectly. I did not reformat or anything like that which was a great relief. Although I have only used this item for a week now with issue which means something could go wrong in the future, I would give it more than 5 stars if possible because it was easy for someone like me. I know I used the phrase no problems multiple times but when you are my age and things go smoothly with no problems it is very good.",2013-05-05,582,0,0,0,0,0.0,0.0
Al Campbell,1,"This product arrived in two days (Prime), it was exactly what I ordered and it works great in my Galaxy S3. I know a class 10 is not exactly needed in a cell phone but it cannot hurt, right? I'm very happy with this purchase.",2013-02-27,649,0,0,0,0,0.0,0.0
Aaron,1,Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,2013-10-27,407,0,0,0,0,0.0,0.0
John Freedman,1,I have used these Sandisk Ultra Micro SDHC 16 GB cards exclusively since buying POV cameras that  require them. I have used them in Gopro Hero 3 and Sony Action Cameras.These cards are great.,2014-09-02,97,0,0,0,0,0.0,0.0
Michael A. Sinclair,1,for me i prefer sandisk over other manufacturers. i have  come to trust in the quality and workmanship of their products.,2014-05-28,194,0,0,0,0,0.0,0.0
brandon,1,holds a lot of memory. slides right into my car cam with no problem and easy to get out as well,2012-07-12,879,0,0,0,0,0.0,0.0
Darian K Chun,1,love it.  Had no problems.  I have no snags or hiccups when trying to access any data or writing data on my phone.,2014-03-02,281,0,0,0,0,0.0,0.0
DiegoCevEra,1,It Works excelent. I can see that is more fast than others. Very good performance. SanDisk demonstrate excelent products in this case.,2013-06-03,553,0,0,0,0,0.0,0.0
Grmcrkrs,1,"This went into my Raspberry Pi, and it works great. I have had nothing but success from this little guy. Also, it conveniently came with the SD adapter.",2013-05-09,578,0,0,0,0,0.0,0.0
